"","veh_value","exposure","clm","numclaims","claimcst0","veh_body","veh_age","gender","area","agecat","X_OBSTAT_"
"15",1.66,0.4845995893,"1",1,669.50999928,"SEDAN",3,"M","B","6","01101    0    0    0"
"17",1.51,0.9938398357,"1",1,806.6099987,"SEDAN",3,"F","F","4","01101    0    0    0"
"18",0.76,0.5393566051,"1",1,401.80545139,"HBACK",3,"M","C","4","01101    0    0    0"
"41",1.89,0.6543463381,"1",2,1811.7099972,"STNWG",3,"M","F","2","01101    0    0    0"
"65",4.06,0.8514715948,"1",1,5434.4399872,"STNWG",2,"M","F","3","01101    0    0    0"
"66",1.39,0.3175906913,"1",1,865.78999901,"HBACK",3,"F","A","4","01101    0    0    0"
"96",2.66,0.3175906913,"1",1,1105.7699986,"STNWG",1,"F","F","5","01101    0    0    0"
"99",0.5,0.0711841205,"1",1,200,"HBACK",4,"F","A","5","01101    0    0    0"
"116",1.16,0.5968514716,"1",2,739.22999954,"STNWG",4,"F","B","2","01101    0    0    0"
"125",3.56,0.9062286105,"1",1,3230.5999985,"MCARA",3,"M","F","4","01101    0    0    0"
"130",2.15,0.6543463381,"1",1,200,"SEDAN",3,"F","A","5","01101    0    0    0"
"132",3.03,0.9034907598,"1",1,200,"TRUCK",1,"M","C","1","01101    0    0    0"
"133",2.41,0.3394934976,"1",1,407.83999968,"STNWG",3,"M","E","1","01101    0    0    0"
"165",1.72,0.6160164271,"1",1,1619.829998,"STNWG",2,"F","A","6","01101    0    0    0"
"172",1.92,0.6160164271,"1",1,1010.9199982,"STNWG",4,"M","A","5","01101    0    0    0"
"184",2.649,0.257357974,"1",1,9424.3499756,"TRUCK",1,"M","A","1","01101    0    0    0"
"218",1.86,0.6160164271,"1",1,238.64000034,"SEDAN",2,"F","C","3","01101    0    0    0"
"237",1.54,0.6160164271,"1",1,200,"STNWG",2,"F","B","3","01101    0    0    0"
"242",1.88,0.7501711157,"1",1,369.17999983,"PANVN",3,"M","D","3","01101    0    0    0"
"245",0.89,0.6844626968,"1",1,353.76999998,"SEDAN",3,"F","D","3","01101    0    0    0"
"303",4.46,0.1916495551,"1",1,989.91999817,"COUPE",2,"M","B","2","01101    0    0    0"
"309",4.32,0.6461327858,"1",1,736.84999847,"STNWG",2,"M","A","5","01101    0    0    0"
"313",5.59,0.8514715948,"1",1,369.14999962,"STNWG",1,"M","C","3","01101    0    0    0"
"314",1.44,0.6652977413,"1",1,500,"UTE",4,"M","F","2","01101    0    0    0"
"318",2.81,0.8514715948,"1",1,353.76999998,"STNWG",1,"M","C","3","01101    0    0    0"
"344",3,0.6132785763,"1",1,6372.0299988,"STNWG",3,"F","C","2","01101    0    0    0"
"351",2.29,0.3531827515,"1",1,500,"STNWG",4,"F","F","4","01101    0    0    0"
"352",0.39,0.925393566,"1",1,1379.0399971,"SEDAN",4,"F","C","6","01101    0    0    0"
"365",1.29,0.925393566,"1",1,200,"SEDAN",3,"M","D","3","01101    0    0    0"
"388",1.13,0.3778234086,"1",1,937.55999565,"SEDAN",4,"F","B","1","01101    0    0    0"
"393",0,0.9993155373,"1",2,2724.3399963,"STNWG",4,"M","A","3","01101    0    0    0"
"411",2.41,0.7501711157,"1",1,12879.659973,"HBACK",1,"F","B","3","01101    0    0    0"
